재무상태표,ifrs-full_LongtermProvisionForDecommissioningRestorationAndRehabilitationCosts,복구충당부채
현금흐름표,dart_IncreaseInGuaranteeDepositsAsFinancialActivities,장기임대보증금의 증가
자본변동표,-표준계정코드 미사용-,지분법이익잉여금변동
재무상태표,ifrs-full_Equity,기말
자본변동표,-표준계정코드 미사용-,기타변동효과
재무상태표,-표준계정코드 미사용-,종속기업우선주부채
자본변동표,dart_ChangesInConsolidatedCompanies,연결범위의 변동
현금흐름표,-표준계정코드 미사용-,파생금융상품의 정산
현금흐름표,dart_IncreaseInLoans,대여금의 증가
현금흐름표,-표준계정코드 미사용-,관계기업투자처분손실
재무상태표,ifrs-full_InvestmentsInJointVentures,공동기업투자지분
포괄손익계산서,dart_OperatingIncomeLoss,영업손실
현금흐름표,-표준계정코드 미사용-,채무면제이익
포괄손익계산서,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목
자본변동표,-표준계정코드 미사용-,수정 후 재작성 된 금액
현금흐름표,ifrs-full_CashFlowsFromLosingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,연결범위 변동으로 인한 현금유출액
자본변동표,-표준계정코드 미사용-,지분법자본변동차이
재무상태표,-표준계정코드 미사용-,매각예정자산과 직접 관련된 부채
현금흐름표,dart_RepaymentsOfBonds,유동성 사채의 상환
자본변동표,-표준계정코드 미사용-,확정급여제도 재측정요소
현금흐름표,dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산
현금흐름표,-표준계정코드 미사용-,기타포괄손익-공정가치측정금융자산처분손실
재무상태표,-표준계정코드 미사용-,이익잉여금(결손금)
현금흐름표,dart_AdjustmentsForMiscellaneousLosses,기타비용
자본변동표,dart_EquityAtBeginningOfPeriod,전기초 잔액
자본변동표,dart_ChangesInConsolidatedCompanies,종속기업 지분변동
자본변동표,-표준계정코드 미사용-,회계정책변경의 효과
자본변동표,-표준계정코드 미사용-,주식선택권의 부여
자본변동표,-표준계정코드 미사용-,기타
현금흐름표,-표준계정코드 미사용-,장기미지급금의 상환
재무상태표,-표준계정코드 미사용-,매각예정처분부채
현금흐름표,dart_AdjustmentsForDecreaseincreaseInTradeAndOtherCurrentReceivables,기타채권
현금흐름표,dart_PurchaseOfLand,토지의 취득
자본변동표,ifrs-full_Equity,기말자본
포괄손익계산서,ifrs-full_IncomeTaxExpenseContinuingOperations,계속영업법인세비용(효익)
현금흐름표,-표준계정코드 미사용-,당기손익-공정가치 금융부채의 증가
