대성에너지,117580,27500000
대성홀딩스,016710,16089459
대신증권우,003545,26000000
대신증권2우B,003547,10000000
대신증권,003540,50773400
대양금속,009190,32354764
대영포장,014160,108394549
대우건설,047040,415622638
대우부품,009320,47646375
대우조선해양,042660,107290669
대웅,003090,58141980
대웅제약,069620,11586575
대원강업,000430,62000000
대원전선우,006345,2621200
대원전선,006340,71964534
대원제약,003220,21860510
대원화성,024890,41249152
대유에이텍,002880,115177625
대유플러스,000300,120998774
대창단조,015230,28572230
대창,012800,91140499
대한방직,001070,5300000
대한유화,006650,6500000
대한전선,001440,1244473009
대한제강,084010,24646734
대한제당우,001795,6482760
대한제당,001790,89696580
대한제분,001130,1690000
대한항공우,003495,1110794
대한항공,003490,368220661
대한해운,005880,319177460
대한화섬,003830,1328000
대현,016090,44282310
대호에이엘,069460,52003519
더블유게임즈,192080,18374502
더존비즈온,012510,30382784
덕성우,004835,1392000
덕성,004830,15680000
덕양산업,024900,32564980
덴티움,145720,11068830
도화엔지니어링,002150,33720000
동국제강,001230,95432737
동방,004140,47971766
동방아그로,007590,13617577
동부건설우,005965,225732
동부건설,005960,22874822
동서,026960,99700000
동성제약,002210,26100970
동성케미컬,102260,49689728
동아쏘시오홀딩스,000640,6348913
동아에스티,170900,8446538
동아지질,028100,14052646
동아타이어,282690,13733015
동양우,001525,617731
동양2우B,001527,308569
동양고속,084670,2895569
동양,001520,238684063
동양생명,082640,161358585
동양철관,008970,118885290
동양피스톤,092780,13168460
동원F&B,049770,3859124
동원금속,018500,46754933
동원산업,006040,49982665
동원수산,030720,4653805
동원시스템즈우,014825,264111
동원시스템즈,014820,28991282
동일고무벨트,163560,13900000
동일산업,004890,2425215
동일제강,002690,20300360
동화약품,000020,27931470
두산우,000155,3996462
두산2우B,000157,893038
두산밥캣,241560,100249166
두산,000150,16523835
두산에너빌리티,034020,638308033
두산퓨얼셀1우,33626K,13364200
두산퓨얼셀2우B,33626L,2986300
두산퓨얼셀,336260,65493726
두올,016740,33066680
드림텍,192650,67395497
디씨엠,024090,11400000
디아이,003160,31496785
디아이씨,092200,38888569
DRB동일,004840,19930000
디앤디플랫폼리츠,377190,64400000
DN오토모티브,007340,9994005
디와이,013570,26319633
디와이파워,210540,11041708
락앤락,115390,50200444
롯데관광개발,032350,72332651
롯데렌탈,089860,36634063
롯데리츠,330590,242968884
롯데손해보험,000400,310336320
롯데쇼핑,023530,28288755
롯데정밀화학,004000,25800000
롯데정보통신,286940,15396331
롯데제과,280360,9434574
롯데지주우,00499K,805603
롯데지주,004990,104909237
