290670,대보마그네틱,대보마그네틱,7824500
078140,대봉엘에스,대봉엘에스,11086579
036480,대성미생물연구소,대성미생물,3800000
025440,대성엘텍,대성엘텍,142500000
027830,대성창업투자,대성창투,40000000
104040,대성파인텍,대성파인텍,31301281
129920,대성하이텍,대성하이텍,13715053
387310,대신밸런스제10호기업인수목적,대신밸런스제10호스팩,5460000
397500,대신밸런스제11호기업인수목적,대신밸런스제11호스팩,7610000
426670,대신밸런스제12호기업인수목적,대신밸런스제12호스팩,5810000
438220,대신밸런스제13호기업인수목적,대신밸런스제13호스팩,5640000
442310,대신밸런스제14호기업인수목적,대신밸런스제14호스팩,6710000
020180,대신정보통신,대신정보통신,38428915
045390,대아티아이,대아티아이,70473377
108380,대양전기공업,대양전기공업,9567333
006580,대양제지공업,대양제지,26850000
007680,대원,대원,13446474
048910,대원미디어,대원미디어,12578946
005710,대원산업,대원산업,20037600
290380,대유,대유,24713612
290120,대유에이피,대유에이피,11653015
120240,대정화금,대정화금,7190391
003310,대주산업,대주산업,35392350
078600,대주전자재료,대주전자재료,15480593
096350,대창솔루션,대창솔루션,163761009
140520,대창스틸,대창스틸,21109243
131220,대한과학,대한과학,7454490
010170,대한광통신,대한광통신,73964387
060900,대한그린파워,대한그린파워,182276104
054670,대한뉴팜,대한뉴팜,14354920
023910,대한약품공업,대한약품,6000000
021040,대호특수강,대호특수강,75398540
021045,대호특수강1우선주,대호특수강우,4242466
067080,대화제약,대화제약,18616650
161570,더 미동,THE MIDONG,15582830
298540,더네이쳐홀딩스,더네이쳐홀딩스,14544656
393890,더블유씨피,더블유씨피,33696518
073570,더블유아이,WI,133829468
299170,더블유에스아이,더블유에스아이,30027963
089230,더이앤엠,THE E&M,174812588
224060,더코디,더코디,3035621
213420,덕산네오룩스,덕산네오룩스,24831179
317330,덕산테코피아,덕산테코피아,18377428
077360,덕산하이메탈,덕산하이메탈,45437002
090410,덕신하우징,덕신하우징,46084095
263600,덕우전자,덕우전자,15930310
194480,데브시스터즈,데브시스터즈,11851821
263800,데이타솔루션,데이타솔루션,16203580
206560,덱스터스튜디오,덱스터,25410336
261200,덴티스,덴티스,14757890
067990,도이치모터스,도이치모터스,31890147
006620,동구바이오제약,동구바이오제약,28464992
005160,동국산업,동국산업,54244482
075970,동국알앤에스,동국알앤에스,18400000
100130,동국에스엔씨,동국S&C,57143000
086450,동국제약,동국제약,44460000
099410,동방선기,동방선기,13541002
033500,동성화인텍,동성화인텍,29764052
025950,동신건설,동신건설,8400000
088130,동아엘텍,동아엘텍,10662938
041930,동아화성,동아화성,15800000
060380,동양에스텍,동양에스텍,19700000
079960,동양이엔피,동양이엔피,7860000
228340,동양파일,동양파일,20000000
088910,동우팜투테이블,동우팜투테이블,25831764
094170,동운아나텍,동운아나텍,18111284
013120,동원개발,동원개발,90808100
109860,동일금속,동일금속,9100000
032960,동일기연,동일기연,3635150
023790,동일철강,동일철강,15984446
005290,동진쎄미켐,동진쎄미켐,51414494
025900,동화기업,동화기업,20203553
131970,두산테스나,두산테스나,14759577
073190,듀오백,듀오백,11968040
030350,드래곤플라이,드래곤플라이,41336352
203650,드림시큐리티,드림시큐리티,50605754
223250,드림씨아이에스,드림씨아이에스,5925720
060570,드림어스컴퍼니,드림어스컴퍼니,56859847
217620,디딤,디딤,46017961
016670,디모아,디모아,101858024
187870,디바이스이엔지,디바이스이엔지,7036609
404950,디비금융제10호기업인수목적,DB금융스팩10호,5840000
367340,디비금융제8호기업인수목적,DB금융스팩8호,6050000
367360,디비금융제9호기업인수목적,DB금융스팩9호,4840000
066670,디스플레이테크,디스플레이텍,18691918
110990,디아이티,디아이티,18900000
078590,디아크,디아크,133006958
263690,디알젬,디알젬,11325610
214680,디알텍,디알텍,58019955
263720,디앤씨미디어,디앤씨미디어,12275111
376300,디어유,디어유,23146871
241520,디에스씨인베스트먼트,DSC인베스트먼트,27811403
141020,디에스앤엘,디에스앤엘,32802132
109740,디에스케이,디에스케이,27024910
196490,디에이테크놀로지,디에이테크놀로지,26795598
066900,디에이피,디에이피,22744503
180400,디엑스앤브이엑스,디엑스앤브이엑스,28692885
127120,디엔에이링크,디엔에이링크,17093692
092070,디엔에프,디엔에프,11571858
068790,디엠에스,DMS,24573061
039840,디오,디오,15881755
219550,디와이디,디와이디,36737590
310870,디와이씨,디와이씨,20687271
104460,디와이피엔에프,디와이피엔에프,10713625
079810,디이엔티,디이엔티,15407442
113810,디젠스,디젠스,32628051
043360,디지아이,디지아이,9000000
197140,디지캡,디지캡,9557649
068930,디지털대성,디지털대성,29813239
033130,디지틀조선일보,디지틀조선,37115267
105740,디케이락,디케이락,8491912
263020,디케이앤디,디케이앤디,15526404
290550,디케이티,디케이티,16462666
187220,디티앤씨,디티앤씨,11698021
383930,디티앤씨알오,디티앤씨알오,6315256
131180,딜리,딜리,29350000
315640,딥노이드,딥노이드,9317134
317120,라닉스,라닉스,9660000
