대우건설,00124540,047040,415622638
대우부품,00111689,009320,47646375
대우조선해양,00111704,042660,107290669
대웅,00111810,003090,58141980
대웅제약,00427483,069620,11586575
대원강업,00111847,000430,62000000
대원전선,00260392,006340,71964534
대원제약,00111999,003220,21860510
대원화성,00112022,024890,41249152
대유에이텍,00149804,002880,115177625
대유플러스,00126089,000300,120998774
대창단조,00112679,015230,28572230
대창,00112651,012800,91140499
대한방직,00112970,001070,5300000
대한유화,00260383,006650,6500000
대한전선,00113207,001440,1244473009
대한제강,00113225,084010,24646734
대한제당,00113234,001790,89696580
대한제분,00113243,001130,1690000
대한항공,00113526,003490,368220661
대한해운,00113535,005880,319177460
대한화섬,00113544,003830,1328000
대현,00113614,016090,44282310
대호에이엘,00428729,069460,52003519
더블유게임즈,01010110,192080,18374502
더존비즈온,00172291,012510,30382784
덕성,00114093,004830,15680000
덕양산업,00114154,024900,32564980
덴티움,00526599,145720,11068830
도화엔지니어링,00114552,002150,33720000
동국제강,00114792,001230,95432737
동방,00115287,004140,47971766
동방아그로,00115384,007590,13617577
동부건설,01690688,005960,22874822
동서,01268674,026960,99700000
동성제약,00116268,002210,26100970
동성케미컬,00679314,102260,49689728
동아쏘시오홀딩스,00116824,000640,6348913
동아에스티,00956930,170900,8446538
동아지질,00178754,028100,14052646
동아타이어,01262458,282690,13733015
동양고속,00540641,084670,2895569
동양,01286120,001520,238684063
동양생명,00117267,082640,161358585
동양철관,00117629,008970,118885290
동양피스톤,00117726,092780,13168460
동원F&B,00340917,049770,3859124
동원금속,00118008,018500,46754933
동원산업,00118026,006040,49982665
동원수산,00118044,030720,4653805
동원시스템즈,00132637,014820,28991282
동일고무벨트,00939687,163560,13900000
동일산업,00118354,004890,2425215
동일제강,00118451,002690,20300360
동화약품,00119195,000020,27931470
두산밥캣,01032486,241560,100249166
두산,00117212,000150,16523835
두산에너빌리티,00159616,034020,638308033
두산퓨얼셀,01412725,336260,65493726
두올,00119672,016740,33066680
드림텍,00415646,192650,67395497
디씨엠,00177199,024090,11400000
디아이,00118275,003160,31496785
디아이씨,01022629,092200,38888569
DRB동일,00118266,004840,19930000
디앤디플랫폼리츠,01475609,377190,64400000
DN오토모티브,00116949,007340,9994005
디와이,00117179,013570,26319633
디와이파워,01059605,210540,11041708
락앤락,00561866,115390,50200444
롯데관광개발,00231372,032350,72332651
롯데렌탈,00545716,089860,36634063
롯데리츠,01363818,330590,242968884
롯데손해보험,00113562,000400,310336320
롯데쇼핑,00120526,023530,28288755
롯데정밀화학,00157681,004000,25800000
롯데정보통신,01262032,286940,15396331
롯데제과,01258507,280360,9434574
롯데지주,00120562,004990,104909237
롯데케미칼,00165413,011170,34275419
롯데하이마트,00158307,071840,23607712
마니커,00204208,027740,63511228
마스턴프리미어리츠,01442966,357430,26580000
만호제강,00120872,001080,4150000
맥쿼리인프라,00435297,088980,404845547
메리츠금융지주,00860332,138040,127571822
메리츠증권,00163682,008560,615040579
메리츠화재,00117744,000060,113783000
메타랩스,00442835,090370,24904689
명문제약,00121039,017180,33953454
명신산업,00173078,009900,52470133
모나리자,00173102,012690,36571255
모나미,00121288,005360,18897307
모두투어리츠,01035289,204210,7826815
모토닉,00151128,009680,33000000
무림페이퍼,00136086,009200,41609310
무림P&P,00119007,009580,62368324
무학,00121543,033920,28500000
문배철강,00121570,008420,20503505
미래산업,01644360,025560,4452007
미래아이앤지,00104786,007120,139417924
미래에셋글로벌리츠,01576102,396690,29060000
미래에셋맵스리츠,01437292,357250,20100000
맵스리얼티1,00600013,094800,92834331
미래에셋생명,00112332,085620,177016189
미래에셋증권,00111722,006800,615316408
미원상사,00121932,002840,4970000
미원에스씨,01234297,268280,5100000
미원홀딩스,00706715,107590,2320000
미원화학,00855163,134380,2199268
바다로19호,00910947,155900,15200004
방림,00122348,003610,42314090
백광산업,00122472,001340,44918407
백산,00122551,035150,23405000
범양건영,00122694,002410,24831982
벽산,00122898,007210,68560000
보락,00123107,002760,59900000
보령,00123143,003850,68690000
보해양조,00123541,000890,139120129
부광약품,00123718,003000,71063049
부국증권,00123772,001270,10369886
부국철강,00123781,026940,20000000
부산산업,00124027,011390,1056000
부산주공,00124151,005030,72928988
비비안,00107677,002070,29793990
비상교육,00520887,100220,12996741
비케이탑스,00273615,030790,21248145
빙그레,00124726,005180,9851241
사조대림,00109718,003960,9164467
사조동아원,00137252,008040,141144600
사조산업,00124799,007160,5000000
사조씨푸드,00124780,014710,17218543
사조오양,00141875,006090,9422739
삼부토건,00125974,001470,197673375
삼성SDI,00126362,006400,68764530
삼성공조,00126201,006660,8126314
삼성물산,00149655,028260,186887081
삼성바이오로직스,00877059,207940,71174000
삼성생명,00126256,032830,200000000
삼성에스디에스,00126186,018260,77377800
삼성엔지니어링,00126308,028050,196000000
삼성전기,00126371,009150,74693696
삼성전자,00126380,005930,5969782550
삼성제약,00126414,001360,67162079
삼성중공업,00126478,010140,880000000
삼성증권,00104856,016360,89300000
삼성출판사,00423690,068290,10000000
삼성카드,00126292,029780,115858891
삼아알미늄,00126779,006110,11000000
삼양사,00896285,145990,10313449
삼양식품,00126955,003230,7533015
삼양통상,00127042,002170,3000000
삼양패키징,01060814,272550,15788671
삼양홀딩스,00126937,000070,8564271
삼영무역,00127167,002810,18466948
삼원강재,00191588,023000,40000000
삼익THK,00127802,004380,21000000
삼익악기,00127857,002450,90530915
삼일씨엔에스,00109806,004440,12731947
삼일제약,00128032,000520,13714450
삼정펄프,00128227,009770,2499971
삼진제약,00128412,005500,13900000
삼천리,00128555,004690,4055025
삼호개발,00128980,010960,25000000
삼화왕관,00129235,004450,2154379
삼화전기,00129271,009470,6613820
상상인증권,00112059,001290,108337120
상신브레이크,00129642,041650,21471450
새론오토모티브,00305668,075180,19200000
샘표,00130091,007540,2875800
샘표식품,01167056,248170,4568286
서연,00163114,007860,23479844
서연이화,01036446,200880,27028437
서원,00131197,021050,47474590
서흥,01560509,008490,11569113
선도전기,00131939,007610,18000000
SUN&L,00132211,002820,12607989
선진,00855093,136490,23779604
성문전자,00132628,014910,19486857
성보화학,00132725,003080,20020000
성신양회,00132804,004980,24516073
성안,00132868,011300,56857860
성창기업지주,00133335,000180,69751600
세기상사,00133618,002420,5293148
세방,00133812,004360,19308690
