대한과학,00608316,131220,7454490
대한광통신,00113261,010170,73964387
대한그린파워,00367695,060900,182276104
대한뉴팜,00207375,054670,14354920
대한약품,00113128,023910,6000000
대호특수강,00166175,021040,75398540
대화제약,00210740,067080,18616650
THE MIDONG,00945208,161570,15582830
더네이쳐홀딩스,01214743,298540,14544656
더블유씨피,01291317,393890,33696518
WI,00440712,073570,133829468
더블유에스아이,01318261,299170,30027963
THE E&M,00519252,089230,174812588
더코디,00530413,224060,3035621
덕산네오룩스,01061558,213420,24831179
덕산테코피아,01021666,317330,18377428
덕산하이메탈,00471068,077360,45437002
덕신하우징,00454937,090410,46084095
덕우전자,00571298,263600,15930310
데브시스터즈,01008762,194480,11851821
데이타솔루션,00877819,263800,16203580
덱스터,01021949,206560,25410336
덴티스,01187494,261200,14757890
도이치모터스,00449379,067990,31890147
동구바이오제약,00114686,006620,28464992
동국산업,00172680,005160,54244482
동국알앤에스,00472890,075970,18400000
동국S&C,00415594,100130,57143000
동국제약,00114808,086450,44460000
동방선기,00526678,099410,13541002
동성화인텍,00231105,033500,29764052
동신건설,00116408,025950,8400000
동아엘텍,00489243,088130,10662938
동아화성,00199988,041930,15800000
동양에스텍,00178851,060380,19700000
동양이엔피,00178790,079960,7860000
동양파일,00993931,228340,20000000
동우팜투테이블,00228712,088910,25831764
동운아나텍,00695969,094170,18111284
동원개발,00117966,013120,90808100
동일금속,01695416,109860,9100000
동일기연,00199076,032960,3635150
동일철강,00172945,023790,15984446
동진쎄미켐,00118804,005290,51414494
동화기업,00173032,025900,20203553
두산테스나,00563545,131970,14759577
듀오백,00407771,073190,11968040
드래곤플라이,00230036,030350,41336352
드림시큐리티,01038693,203650,50605754
드림씨아이에스,00916826,223250,5925720
드림어스컴퍼니,00364467,060570,56859847
디딤,01068658,217620,46017961
디모아,00125725,016670,101858024
디바이스이엔지,00624509,187870,7036609
DB금융스팩8호,01505450,367340,6050000
DB금융스팩9호,01505469,367360,4840000
디스플레이텍,00371740,066670,18691918
디아이티,00576798,110990,18900000
디아크,00230814,078590,133006958
디알젬,00966168,263690,11325610
디알텍,01062867,214680,58019955
디앤씨미디어,01186404,263720,12275111
디어유,01456011,376300,23146871
DSC인베스트먼트,01109715,241520,27811403
디에스앤엘,00812362,141020,32802132
디에스케이,00604277,109740,27024910
디에이테크놀로지,00660121,196490,26795598
디에이피,00303192,066900,22744503
디엑스앤브이엑스,00995993,180400,28692885
디엔에이링크,00642541,127120,17093692
디엔에프,00569691,092070,11571858
DMS,00361594,068790,24573061
디오,00115931,039840,15881755
디와이디,01089378,219550,36737590
디와이씨,01336443,310870,20687271
디와이피엔에프,00602136,104460,10713625
디이엔티,00445160,079810,15407442
디젠스,00576789,113810,32628051
디지아이,00295547,043360,9000000
디지캡,00681373,197140,9557649
디지털대성,00398808,068930,29813239
디지틀조선,00231442,033130,37115267
디케이락,00533003,105740,8491912
디케이앤디,00892526,263020,15526404
디케이티,01381814,290550,16462666
디티앤씨,00675594,187220,11698021
디티앤씨알오,01437432,383930,6315256
딜리,00629212,131180,29350000
딥노이드,01344831,315640,9317134
라닉스,01327092,317120,9660000
라온시큐어,00255433,042510,38666746
라온테크,00911229,232680,12480734
라온피플,01251489,300120,20780012
라이온켐텍,00317104,171120,18893576
라이트론,00367482,069540,26061956
라이프시맨틱스,01336762,347700,10227950
라파스,01058101,214260,8617416
래몽래인,00990819,200350,6261519
램테크놀러지,00654272,171010,13836057
랩지노믹스,00545114,084650,33991623
러셀,01068348,217500,31812000
레고켐바이오,00842619,141080,24373078
레드캡투어,00261355,038390,8589480
레몬,01011395,294140,37000000
레이,00828761,228670,13626915
레이언스,00899459,228850,16591014
레이저쎌,01573381,412350,8425772
레이크머티리얼즈,01255652,281740,65730548
레인보우로보틱스,01261644,277810,16784233
로보로보,01063990,215100,20348454
로보스타,00536523,090360,9750000
로보티즈,00946030,108490,11932423
로스웰,01139266,900260,180156443
로지시스,00238199,067730,9673922
로체시스템즈,00363486,071280,15296603
루닛,01397620,328130,12227628
루멘스,00406329,038060,48103069
루트로닉,00549925,085370,26370776
룽투코리아,00373571,060240,25429284
리노공업,00369657,058470,15242370
리노스,00369213,039980,45713596
리더스 기술투자,00110750,019570,130111263
리더스코스메틱,00180263,016100,19100894
리드코프,00117708,012700,26446135
리메드,01275665,302550,6127616
리파인,01210066,377450,17330000
린드먼아시아,00616962,277070,13692000
링네트,00352499,042500,15356878
링크제니시스,01109955,219420,11469507
마니커에프앤지,00770312,195500,15928000
마이크로디지탈,01267967,305090,14744200
마이크로프랜드,00654175,147760,10819866
마인즈랩,01297898,377480,6079208
엠브레인,00877174,169330,17936918
마크로젠,00261373,038290,10841400
매일유업,01234507,267980,7843638
매일홀딩스,00120924,005990,13718304
매커스,00596677,093520,16163092
맥스트,01409095,377030,19570882
머큐리,00364740,100590,15124896
멀티캠퍼스,00425351,067280,5926779
메가스터디,00422284,072870,11920959
메가스터디교육,01074862,215200,11861880
메가엠디,00807555,133750,23407077
메드팩토,01336373,235980,21080695
메디아나,00273439,041920,16000000
메디앙스,00267854,014100,11800000
메디콕스,00356839,054180,24817403
메디톡스,00580199,086900,6583997
메디포스트,00453929,078160,16264194
메디프론,00391197,065650,43615959
메이슨캐피탈,00136101,021880,152184408
메지온,00808022,140410,26742018
메카로,00652007,241770,10192640
메타바이오메드,00317681,059210,23862351
멕아이씨에스,00270113,058110,16050530
멜파스,00609315,096640,37946235
명성티엔에스,01144569,257370,7726156
모다이노칩,00480048,080420,79721622
모델솔루션,00657783,417970,6396700
모두투어,00456218,080160,18900000
모바일어플라이언스,00556615,087260,32552861
모베이스,00498001,101330,23958188
모베이스전자,00137234,012860,73233457
모비데이즈,01493535,363260,160018847
모비릭스,01210190,348030,9603800
모비스,01165155,250060,32171314
모아데이타,01423837,288980,32785632
모아텍,00241209,033200,14331185
모코엠시스,01407158,333050,22561534
모트렉스,00876908,118990,24495500
모헨즈,00163318,006920,10920000
무림SP,00121507,001810,22137500
미디어젠,01190124,279600,4684781
미래나노텍,00526836,095500,31009999
미래생명자원,01071944,218150,19895844
미래에셋대우스팩 5호,01450105,353490,5060000
미래에셋벤처투자,00340096,100790,48480361
미래에셋비전스팩1호,01601286,412930,6176000
미래컴퍼니,00447760,049950,8586820
미스터블루,01047840,207760,24891745
미코,00366942,059090,33416778
미코바이오메드,01049167,214610,18308101
미투온,00965813,201490,31257770
미투젠,01416235,950190,13579892
바디텍메드,01046708,206640,23486560
바른손,00122205,018700,35119757
바른손이앤에이,00259590,035620,74439675
바른전자,00370255,064520,10940701
바이넥스,00216027,053030,31761048
바이브컴퍼니,00403793,301300,5595980
바이오니아,00326731,064550,25810291
바이오다인,01117413,314930,6168195
바이오로그디바이스,01047707,208710,42254457
바이오솔루션,00560982,086820,8143426
바이오스마트,00240857,038460,20087800
바이오에프디엔씨,01160974,251120,8695700
바이오톡스텍,00447502,086040,14667123
바이오플러스,00636656,099430,14482716
바이온,00232089,032980,36165974
바이옵트로,01037542,222160,8143866
바이젠셀,01335790,308080,19006060
바텍,00264255,043150,14854256
박셀바이오,01335851,323990,15223000
배럴,01182240,267790,7885500
백금T&A,00360036,046310,16418641
밸로프,01398151,331520,47869299
버킷스튜디오,00378220,066410,84109926
범한퓨얼셀,01435489,382900,8761000
베노홀딩스,01043853,206400,28834011
베뉴지,00267906,019010,48200000
베셀,00813389,177350,12393794
베스파,01259056,299910,8206916
보광산업,00568461,225530,36338727
보라티알,01124680,250000,6750733
보로노이,01327746,310210,12647869
보성파워텍,00267881,006910,49129824
본느,01098792,226340,30699596
부스타,00124276,008470,8404800
부방,00243067,014470,60052260
뷰노,01344202,338220,11379656
뷰웍스,00609324,100120,10001865
브랜드엑스코퍼레이션,01391103,337930,29266589
브레인즈컴퍼니,00642897,099390,8208283
브리지텍,00359076,064480,11952500
브이씨,01354740,365900,7310300
브이원텍,01027794,251630,15162580
브이티지엠피,00150165,018290,34483893
블루베리 NFT,00173449,044480,32343981
블루콤,00238001,033560,17100000
블리츠웨이,01508855,369370,42072227
비나텍,00563518,126340,5468262
비덴트,00693651,121800,55089864
비디아이,00610490,148140,43208667
비보존 제약,00533191,082800,234043081
비비씨,01153105,318410,5555243
비스토스,01506848,419540,21175308
비씨엔씨,01301623,146320,12367923
비씨월드제약,00256043,200780,8892384
비아트론,00610083,141000,12114710
비에이치,00447609,090460,34464379
비에이치아이,00409788,083650,26000000
비엔지티,00110884,032790,30923233
비엘,00587925,142760,31448597
비엘팜텍,00384717,065170,88970559
비엠티,00524786,086670,9125174
비올,01406618,335890,58133344
비즈니스온,01014657,138580,22556163
비츠로셀,00154718,082920,21539152
비츠로시스,00201432,054220,25162883
비츠로테크,00103644,042370,26200025
비케이홀딩스,00369569,050090,79138942
비투엔,01326792,307870,30701200
비트나인,01381984,357880,10353956
비트컴퓨터,00231707,032850,16623293
비플라이소프트,00980043,148780,31445725
비피도,01109070,238200,8180000
빅솔론,00478900,093190,19238905
빅텍,00385363,065450,28652800
빛샘전자,00359261,072950,6230859
사람인에이치알,00857480,143240,11674263
산돌,01516368,419120,7671826
삼강엠앤티,00480367,100090,53235012
삼기,00799177,122350,38339428
삼륭물산,00125488,014970,15125000
삼목에스폼,00125646,018310,14700000
삼보모터스,00351092,053700,19234290
삼보산업,00473288,009620,45255561
삼보판지,00125938,023600,16170000
삼성스팩4호,01528530,377630,4020000
삼성스팩6호,01624162,425290,5520000
삼성스팩7호,01675227,439250,3502000
삼성머스트스팩5호,01534522,380320,4810000
삼아제약,00126788,009300,6370000
삼양옵틱스,00992543,225190,10149688
3S,00378363,060310,48536642
삼영에스앤씨,00405506,361670,5667658
삼영엠텍,00250614,054540,13000000
삼영이엔씨,00288343,065570,10794010
삼일,00127909,032280,16213590
삼일기업공사,00127936,002290,12400000
삼지전자,00128315,037460,16318522
삼진,00173351,032750,7200000
삼진엘앤디,00239514,054090,24959232
삼천당제약,00128546,000250,22768041
삼천리자전거,00128607,024950,13273577
